Group	Sample	seurat_clusters	.n
Treatment naive	P19_pre	c8	73
Treatment naive	P19_pre	c9	193
Treatment naive	P19_pre	c10	152
Treatment naive	P19_pre	c11	192
Treatment naive	P19_pre	c12	101
Treatment naive	P19_pre	c13	470
Treatment naive	P19_pre	c14	158
Treatment naive	P19_pre	c15	334
Treatment naive	P19_pre	c16	310
Treatment naive	P19_pre	c17	149
Treatment naive	P19_pre	c18	144
Treatment naive	P19_pre	c19	77
Treatment naive	P19_pre	c20	115
Treatment naive	P19_pre	c21	55
Treatment naive	P19_pre	c22	155
Treatment naive	P19_pre	c23	7
Treatment naive	P19_pre	c24	295
Treatment naive	P19_pre	c25	123
Treatment naive	P19_pre	c26	22
Treatment naive	P19_pre	c27	126
Treatment naive	P19_pre	c28	294
Treatment naive	P19_pre	c29	97
Treatment naive	P19_pre	c30	24
Treatment naive	P19_pre	c31	17
Treatment naive	P19_pre	c32	9
Treatment naive	P19_pre	c33	12
Treatment naive	P1_pre	c1	238
Treatment naive	P1_pre	c2	508
Treatment naive	P1_pre	c3	548
Treatment naive	P1_pre	c4	136
Treatment naive	P1_pre	c5	152
Treatment naive	P1_pre	c6	102
Treatment naive	P1_pre	c7	91
Treatment naive	P1_pre	c8	119
Treatment naive	P1_pre	c9	127
Treatment naive	P1_pre	c10	84
Treatment naive	P1_pre	c11	40
Treatment naive	P1_pre	c12	178
Treatment naive	P1_pre	c13	114
Treatment naive	P1_pre	c14	248
Treatment naive	P1_pre	c15	70
Treatment naive	P1_pre	c16	64
Treatment naive	P1_pre	c17	65
Treatment naive	P1_pre	c18	34
Treatment naive	P1_pre	c19	71
Treatment naive	P1_pre	c20	124
Treatment naive	P1_pre	c21	141
Treatment naive	P1_pre	c22	42
Treatment naive	P1_pre	c23	61
Treatment naive	P1_pre	c24	139
Treatment naive	P1_pre	c25	179
Treatment naive	P1_pre	c26	17
Treatment naive	P1_pre	c27	23
Treatment naive	P1_pre	c28	79
Treatment naive	P1_pre	c29	41
Treatment naive	P1_pre	c30	49
Treatment naive	P1_pre	c31	55
Treatment naive	P1_pre	c32	50
Treatment naive	P1_pre	c33	29
Treatment naive	P20_pre	c1	96
Treatment naive	P20_pre	c2	76
Treatment naive	P20_pre	c3	26
Treatment naive	P20_pre	c4	115
Treatment naive	P20_pre	c5	114
Treatment naive	P20_pre	c6	73
Treatment naive	P20_pre	c7	113
Treatment naive	P20_pre	c8	149
Treatment naive	P20_pre	c9	303
Treatment naive	P20_pre	c10	391
Treatment naive	P20_pre	c11	10
Treatment naive	P20_pre	c12	248
Treatment naive	P20_pre	c13	36
Treatment naive	P20_pre	c14	93
Treatment naive	P20_pre	c15	30
Treatment naive	P20_pre	c16	54
Treatment naive	P20_pre	c17	83
Treatment naive	P20_pre	c18	112
Treatment naive	P20_pre	c19	77
Treatment naive	P20_pre	c20	66
Treatment naive	P20_pre	c21	50
Treatment naive	P20_pre	c22	29
Treatment naive	P20_pre	c23	16
Treatment naive	P20_pre	c24	22
Treatment naive	P20_pre	c25	31
Treatment naive	P20_pre	c26	7
Treatment naive	P20_pre	c27	20
Treatment naive	P20_pre	c28	10
Treatment naive	P20_pre	c29	4
Treatment naive	P20_pre	c30	22
Treatment naive	P20_pre	c31	17
Treatment naive	P20_pre	c32	4
Treatment naive	P20_pre	c33	1
Treatment naive	P21_pre	c1	11
Treatment naive	P21_pre	c2	7
Treatment naive	P21_pre	c3	14
Treatment naive	P21_pre	c4	201
Treatment naive	P21_pre	c5	89
Treatment naive	P21_pre	c6	60
Treatment naive	P21_pre	c7	77
Treatment naive	P21_pre	c8	75
Treatment naive	P21_pre	c9	59
Treatment naive	P21_pre	c10	119
Treatment naive	P21_pre	c11	53
Treatment naive	P21_pre	c12	136
Treatment naive	P21_pre	c13	45
Treatment naive	P21_pre	c14	27
Treatment naive	P21_pre	c15	69
Treatment naive	P21_pre	c16	45
Treatment naive	P21_pre	c17	53
Treatment naive	P21_pre	c18	67
Treatment naive	P21_pre	c19	101
Treatment naive	P21_pre	c20	62
Treatment naive	P21_pre	c21	52
Treatment naive	P21_pre	c22	62
Treatment naive	P21_pre	c23	14
Treatment naive	P21_pre	c24	75
Treatment naive	P21_pre	c25	5
Treatment naive	P21_pre	c26	61
Treatment naive	P21_pre	c27	88
Treatment naive	P21_pre	c28	51
Treatment naive	P21_pre	c29	16
Treatment naive	P21_pre	c30	32
Treatment naive	P21_pre	c31	5
Treatment naive	P21_pre	c32	1
Treatment naive	P21_pre	c33	1
Treatment naive	P22_pre	c1	19
Treatment naive	P22_pre	c2	24
Treatment naive	P22_pre	c3	38
Treatment naive	P22_pre	c4	58
Treatment naive	P22_pre	c5	30
Treatment naive	P22_pre	c6	24
Treatment naive	P22_pre	c7	53
Treatment naive	P22_pre	c8	30
Treatment naive	P22_pre	c9	28
Treatment naive	P22_pre	c10	29
Treatment naive	P22_pre	c11	12
Treatment naive	P22_pre	c12	38
Treatment naive	P22_pre	c13	17
Treatment naive	P22_pre	c14	25
Treatment naive	P22_pre	c15	36
Treatment naive	P22_pre	c16	19
Treatment naive	P22_pre	c17	32
Treatment naive	P22_pre	c18	9
Treatment naive	P22_pre	c19	28
Treatment naive	P22_pre	c20	19
Treatment naive	P22_pre	c21	23
Treatment naive	P22_pre	c22	14
Treatment naive	P22_pre	c23	4
Treatment naive	P22_pre	c24	10
Treatment naive	P22_pre	c25	7
Treatment naive	P22_pre	c26	9
Treatment naive	P22_pre	c27	20
Treatment naive	P22_pre	c28	5
Treatment naive	P22_pre	c29	5
Treatment naive	P22_pre	c30	3
Treatment naive	P22_pre	c31	6
Treatment naive	P22_pre	c33	4
Treatment naive	P23_pre	c1	53
Treatment naive	P23_pre	c2	93
Treatment naive	P23_pre	c3	84
Treatment naive	P23_pre	c4	139
Treatment naive	P23_pre	c5	168
Treatment naive	P23_pre	c6	98
Treatment naive	P23_pre	c7	84
Treatment naive	P23_pre	c8	180
Treatment naive	P23_pre	c9	78
Treatment naive	P23_pre	c10	73
Treatment naive	P23_pre	c11	30
Treatment naive	P23_pre	c12	102
Treatment naive	P23_pre	c13	88
Treatment naive	P23_pre	c14	73
Treatment naive	P23_pre	c15	47
Treatment naive	P23_pre	c16	73
Treatment naive	P23_pre	c17	99
Treatment naive	P23_pre	c18	38
Treatment naive	P23_pre	c19	51
Treatment naive	P23_pre	c20	83
Treatment naive	P23_pre	c21	66
Treatment naive	P23_pre	c22	33
Treatment naive	P23_pre	c23	41
Treatment naive	P23_pre	c24	12
Treatment naive	P23_pre	c25	39
Treatment naive	P23_pre	c26	29
Treatment naive	P23_pre	c27	60
Treatment naive	P23_pre	c28	6
Treatment naive	P23_pre	c29	13
Treatment naive	P23_pre	c30	27
Treatment naive	P23_pre	c31	13
Treatment naive	P23_pre	c32	11
Treatment naive	P23_pre	c33	3
Treatment naive	P24_pre	c1	38
Treatment naive	P24_pre	c2	72
Treatment naive	P24_pre	c3	60
Treatment naive	P24_pre	c4	75
Treatment naive	P24_pre	c5	68
Treatment naive	P24_pre	c6	42
Treatment naive	P24_pre	c7	39
Treatment naive	P24_pre	c8	31
Treatment naive	P24_pre	c9	40
Treatment naive	P24_pre	c10	16
Treatment naive	P24_pre	c11	22
Treatment naive	P24_pre	c12	46
Treatment naive	P24_pre	c13	28
Treatment naive	P24_pre	c14	47
Treatment naive	P24_pre	c15	37
Treatment naive	P24_pre	c16	31
Treatment naive	P24_pre	c17	46
Treatment naive	P24_pre	c18	31
Treatment naive	P24_pre	c19	21
Treatment naive	P24_pre	c20	28
Treatment naive	P24_pre	c21	31
Treatment naive	P24_pre	c22	19
Treatment naive	P24_pre	c23	12
Treatment naive	P24_pre	c24	54
Treatment naive	P24_pre	c25	34
Treatment naive	P24_pre	c26	7
Treatment naive	P24_pre	c27	11
Treatment naive	P24_pre	c28	40
Treatment naive	P24_pre	c29	15
Treatment naive	P24_pre	c30	12
Treatment naive	P24_pre	c31	14
Treatment naive	P24_pre	c32	7
Treatment naive	P24_pre	c33	4
Treatment naive	P25_pre	c1	319
Treatment naive	P25_pre	c2	158
Treatment naive	P25_pre	c3	274
Treatment naive	P25_pre	c4	84
Treatment naive	P25_pre	c5	158
Treatment naive	P25_pre	c6	41
Treatment naive	P25_pre	c7	27
Treatment naive	P25_pre	c8	110
Treatment naive	P25_pre	c9	38
Treatment naive	P25_pre	c10	56
Treatment naive	P25_pre	c11	167
Treatment naive	P25_pre	c12	63
Treatment naive	P25_pre	c13	106
Treatment naive	P25_pre	c14	287
Treatment naive	P25_pre	c15	53
Treatment naive	P25_pre	c16	29
Treatment naive	P25_pre	c17	98
Treatment naive	P25_pre	c18	22
Treatment naive	P25_pre	c19	179
Treatment naive	P25_pre	c20	119
Treatment naive	P25_pre	c21	104
Treatment naive	P25_pre	c22	110
Treatment naive	P25_pre	c23	1275
Treatment naive	P25_pre	c24	98
Treatment naive	P25_pre	c25	41
Treatment naive	P25_pre	c26	47
Treatment naive	P25_pre	c27	16
Treatment naive	P25_pre	c28	63
Treatment naive	P25_pre	c29	654
Treatment naive	P25_pre	c30	149
Treatment naive	P25_pre	c31	17
Treatment naive	P25_pre	c32	404
Treatment naive	P25_pre	c33	19
Treatment naive	P25_pre	c34	70
Treatment naive	P26_pre	c1	8
Treatment naive	P26_pre	c2	9
Treatment naive	P26_pre	c3	6
Treatment naive	P26_pre	c4	21
Treatment naive	P26_pre	c5	24
Treatment naive	P26_pre	c6	13
Treatment naive	P26_pre	c7	11
Treatment naive	P26_pre	c8	18
Treatment naive	P26_pre	c9	18
Treatment naive	P26_pre	c10	15
Treatment naive	P26_pre	c11	3
Treatment naive	P26_pre	c12	18
Treatment naive	P26_pre	c13	13
Treatment naive	P26_pre	c14	8
Treatment naive	P26_pre	c15	8
Treatment naive	P26_pre	c16	7
Treatment naive	P26_pre	c17	16
Treatment naive	P26_pre	c18	13
Treatment naive	P26_pre	c19	3
Treatment naive	P26_pre	c20	14
Treatment naive	P26_pre	c21	5
Treatment naive	P26_pre	c22	6
Treatment naive	P26_pre	c23	1
Treatment naive	P26_pre	c25	3
Treatment naive	P26_pre	c26	5
Treatment naive	P26_pre	c27	5
Treatment naive	P26_pre	c28	1
Treatment naive	P26_pre	c29	4
Treatment naive	P26_pre	c30	2
Treatment naive	P26_pre	c31	3
Treatment naive	P27_pre	c1	45
Treatment naive	P27_pre	c2	30
Treatment naive	P27_pre	c3	40
Treatment naive	P27_pre	c4	82
Treatment naive	P27_pre	c5	129
Treatment naive	P27_pre	c6	88
Treatment naive	P27_pre	c7	95
Treatment naive	P27_pre	c8	115
Treatment naive	P27_pre	c9	133
Treatment naive	P27_pre	c10	106
Treatment naive	P27_pre	c11	4
Treatment naive	P27_pre	c12	109
Treatment naive	P27_pre	c13	45
Treatment naive	P27_pre	c14	42
Treatment naive	P27_pre	c15	33
Treatment naive	P27_pre	c16	83
Treatment naive	P27_pre	c17	40
Treatment naive	P27_pre	c18	55
Treatment naive	P27_pre	c19	29
Treatment naive	P27_pre	c20	68
Treatment naive	P27_pre	c21	36
Treatment naive	P27_pre	c22	16
Treatment naive	P27_pre	c23	60
Treatment naive	P27_pre	c24	7
Treatment naive	P27_pre	c25	23
Treatment naive	P27_pre	c26	5
Treatment naive	P27_pre	c27	20
Treatment naive	P27_pre	c28	6
Treatment naive	P27_pre	c29	29
Treatment naive	P27_pre	c30	15
Treatment naive	P27_pre	c31	10
Treatment naive	P27_pre	c32	10
Treatment naive	P27_pre	c33	3
Treatment naive	P28_pre	c1	216
Treatment naive	P28_pre	c2	172
Treatment naive	P28_pre	c3	153
Treatment naive	P28_pre	c4	94
Treatment naive	P28_pre	c5	54
Treatment naive	P28_pre	c6	25
Treatment naive	P28_pre	c7	107
Treatment naive	P28_pre	c8	66
Treatment naive	P28_pre	c9	220
Treatment naive	P28_pre	c10	219
Treatment naive	P28_pre	c11	30
Treatment naive	P28_pre	c12	143
Treatment naive	P28_pre	c13	19
Treatment naive	P28_pre	c14	172
Treatment naive	P28_pre	c15	127
Treatment naive	P28_pre	c16	60
Treatment naive	P28_pre	c17	40
Treatment naive	P28_pre	c18	84
Treatment naive	P28_pre	c19	44
Treatment naive	P28_pre	c20	44
Treatment naive	P28_pre	c21	83
Treatment naive	P28_pre	c22	25
Treatment naive	P28_pre	c23	49
Treatment naive	P28_pre	c24	110
Treatment naive	P28_pre	c25	47
Treatment naive	P28_pre	c26	10
Treatment naive	P28_pre	c27	29
Treatment naive	P28_pre	c28	50
Treatment naive	P28_pre	c29	72
Treatment naive	P28_pre	c30	24
Treatment naive	P28_pre	c31	69
Treatment naive	P28_pre	c32	31
Treatment naive	P28_pre	c33	27
Treatment naive	P29_pre	c1	69
Treatment naive	P29_pre	c2	81
Treatment naive	P29_pre	c3	87
Treatment naive	P29_pre	c4	116
Treatment naive	P29_pre	c5	97
Treatment naive	P29_pre	c6	93
Treatment naive	P29_pre	c7	96
Treatment naive	P29_pre	c8	72
Treatment naive	P29_pre	c9	34
Treatment naive	P29_pre	c10	34
Treatment naive	P29_pre	c11	21
Treatment naive	P29_pre	c12	65
Treatment naive	P29_pre	c13	88
Treatment naive	P29_pre	c14	57
Treatment naive	P29_pre	c15	103
Treatment naive	P29_pre	c16	76
Treatment naive	P29_pre	c17	53
Treatment naive	P29_pre	c18	19
Treatment naive	P29_pre	c19	31
Treatment naive	P29_pre	c20	58
Treatment naive	P29_pre	c21	67
Treatment naive	P29_pre	c22	41
Treatment naive	P29_pre	c23	30
Treatment naive	P29_pre	c24	43
Treatment naive	P29_pre	c25	36
Treatment naive	P29_pre	c26	16
Treatment naive	P29_pre	c27	37
Treatment naive	P29_pre	c28	34
Treatment naive	P29_pre	c29	36
Treatment naive	P29_pre	c30	17
Treatment naive	P29_pre	c31	4
Treatment naive	P29_pre	c32	7
Treatment naive	P29_pre	c33	5
Treatment naive	P2_pre	c1	42
Treatment naive	P2_pre	c2	75
Treatment naive	P2_pre	c3	78
Treatment naive	P2_pre	c4	228
Treatment naive	P2_pre	c5	144
Treatment naive	P2_pre	c6	208
Treatment naive	P2_pre	c7	118
Treatment naive	P2_pre	c8	55
Treatment naive	P2_pre	c9	61
Treatment naive	P2_pre	c10	61
Treatment naive	P2_pre	c11	21
Treatment naive	P2_pre	c12	59
Treatment naive	P2_pre	c13	99
Treatment naive	P2_pre	c14	88
Treatment naive	P2_pre	c15	117
Treatment naive	P2_pre	c16	125
Treatment naive	P2_pre	c17	151
Treatment naive	P2_pre	c18	28
Treatment naive	P2_pre	c19	27
Treatment naive	P2_pre	c20	38
Treatment naive	P2_pre	c21	38
Treatment naive	P2_pre	c22	26
Treatment naive	P2_pre	c23	29
Treatment naive	P2_pre	c24	17
Treatment naive	P2_pre	c25	41
Treatment naive	P2_pre	c26	19
Treatment naive	P2_pre	c27	46
Treatment naive	P2_pre	c28	28
Treatment naive	P2_pre	c29	29
Treatment naive	P2_pre	c30	8
Treatment naive	P2_pre	c31	16
Treatment naive	P2_pre	c32	9
Treatment naive	P2_pre	c33	3
Treatment naive	P30_pre	c1	196
Treatment naive	P30_pre	c2	281
Treatment naive	P30_pre	c3	249
Treatment naive	P30_pre	c4	86
Treatment naive	P30_pre	c5	68
Treatment naive	P30_pre	c6	34
Treatment naive	P30_pre	c7	92
Treatment naive	P30_pre	c8	91
Treatment naive	P30_pre	c9	102
Treatment naive	P30_pre	c10	96
Treatment naive	P30_pre	c11	11
Treatment naive	P30_pre	c12	109
Treatment naive	P30_pre	c13	19
Treatment naive	P30_pre	c14	178
Treatment naive	P30_pre	c15	74
Treatment naive	P30_pre	c16	66
Treatment naive	P30_pre	c17	34
Treatment naive	P30_pre	c18	24
Treatment naive	P30_pre	c19	22
Treatment naive	P30_pre	c20	37
Treatment naive	P30_pre	c21	62
Treatment naive	P30_pre	c22	12
Treatment naive	P30_pre	c23	26
Treatment naive	P30_pre	c24	107
Treatment naive	P30_pre	c25	85
Treatment naive	P30_pre	c26	4
Treatment naive	P30_pre	c27	22
Treatment naive	P30_pre	c28	51
Treatment naive	P30_pre	c29	41
Treatment naive	P30_pre	c30	19
Treatment naive	P30_pre	c31	29
Treatment naive	P30_pre	c32	21
Treatment naive	P30_pre	c33	11
Treatment naive	P33_pre	c1	59
Treatment naive	P33_pre	c2	164
Treatment naive	P33_pre	c3	195
Treatment naive	P33_pre	c4	27
Treatment naive	P33_pre	c5	98
Treatment naive	P33_pre	c6	54
Treatment naive	P33_pre	c7	10
Treatment naive	P33_pre	c8	94
Treatment naive	P33_pre	c9	18
Treatment naive	P33_pre	c10	17
Treatment naive	P33_pre	c11	25
Treatment naive	P33_pre	c12	65
Treatment naive	P33_pre	c13	53
Treatment naive	P33_pre	c14	64
Treatment naive	P33_pre	c15	27
Treatment naive	P33_pre	c16	44
Treatment naive	P33_pre	c17	42
Treatment naive	P33_pre	c18	10
Treatment naive	P33_pre	c19	24
Treatment naive	P33_pre	c20	71
Treatment naive	P33_pre	c21	65
Treatment naive	P33_pre	c22	12
Treatment naive	P33_pre	c23	153
Treatment naive	P33_pre	c24	19
Treatment naive	P33_pre	c25	62
Treatment naive	P33_pre	c26	5
Treatment naive	P33_pre	c27	10
Treatment naive	P33_pre	c28	16
Treatment naive	P33_pre	c29	75
Treatment naive	P33_pre	c30	24
Treatment naive	P33_pre	c31	18
Treatment naive	P33_pre	c32	71
Treatment naive	P33_pre	c33	2
Treatment naive	P34_pre	c1	361
Treatment naive	P34_pre	c2	294
Treatment naive	P34_pre	c3	179
Treatment naive	P34_pre	c4	96
Treatment naive	P34_pre	c5	160
Treatment naive	P34_pre	c6	273
Treatment naive	P34_pre	c7	223
Treatment naive	P34_pre	c8	138
Treatment naive	P34_pre	c9	169
Treatment naive	P34_pre	c10	173
Treatment naive	P34_pre	c11	22
Treatment naive	P34_pre	c12	116
Treatment naive	P34_pre	c13	109
Treatment naive	P34_pre	c14	164
Treatment naive	P34_pre	c15	137
Treatment naive	P34_pre	c16	178
Treatment naive	P34_pre	c17	89
Treatment naive	P34_pre	c18	60
Treatment naive	P34_pre	c19	41
Treatment naive	P34_pre	c20	88
Treatment naive	P34_pre	c21	44
Treatment naive	P34_pre	c22	29
Treatment naive	P34_pre	c23	2
Treatment naive	P34_pre	c24	65
Treatment naive	P34_pre	c25	139
Treatment naive	P34_pre	c26	8
Treatment naive	P34_pre	c27	92
Treatment naive	P34_pre	c28	32
Treatment naive	P34_pre	c29	3
Treatment naive	P34_pre	c30	23
Treatment naive	P34_pre	c31	26
Treatment naive	P34_pre	c32	2
Treatment naive	P34_pre	c33	6
Treatment naive	P35_pre	c1	236
Treatment naive	P35_pre	c2	178
Treatment naive	P35_pre	c3	162
Treatment naive	P35_pre	c4	114
Treatment naive	P35_pre	c5	150
Treatment naive	P35_pre	c6	181
Treatment naive	P35_pre	c7	193
Treatment naive	P35_pre	c8	204
Treatment naive	P35_pre	c9	192
Treatment naive	P35_pre	c10	120
Treatment naive	P35_pre	c11	15
Treatment naive	P35_pre	c12	120
Treatment naive	P35_pre	c13	99
Treatment naive	P35_pre	c14	115
Treatment naive	P35_pre	c15	135
Treatment naive	P35_pre	c16	226
Treatment naive	P35_pre	c17	112
Treatment naive	P35_pre	c18	67
Treatment naive	P35_pre	c19	35
Treatment naive	P35_pre	c20	72
Treatment naive	P35_pre	c21	61
Treatment naive	P35_pre	c22	35
Treatment naive	P35_pre	c23	51
Treatment naive	P35_pre	c24	48
Treatment naive	P35_pre	c25	98
Treatment naive	P35_pre	c26	13
Treatment naive	P35_pre	c27	49
Treatment naive	P35_pre	c28	41
Treatment naive	P35_pre	c29	70
Treatment naive	P35_pre	c30	28
Treatment naive	P35_pre	c31	19
Treatment naive	P35_pre	c32	23
Treatment naive	P35_pre	c33	4
Treatment naive	P3_pre	c1	66
Treatment naive	P3_pre	c2	15
Treatment naive	P3_pre	c3	19
Treatment naive	P3_pre	c4	4
Treatment naive	P3_pre	c5	20
Treatment naive	P3_pre	c6	8
Treatment naive	P3_pre	c7	1
Treatment naive	P3_pre	c8	22
Treatment naive	P3_pre	c9	58
Treatment naive	P3_pre	c10	325
Treatment naive	P3_pre	c11	59
Treatment naive	P3_pre	c12	74
Treatment naive	P3_pre	c13	6
Treatment naive	P3_pre	c14	95
Treatment naive	P3_pre	c15	3
Treatment naive	P3_pre	c16	1
Treatment naive	P3_pre	c18	49
Treatment naive	P3_pre	c19	315
Treatment naive	P3_pre	c20	53
Treatment naive	P3_pre	c21	6
Treatment naive	P3_pre	c22	66
Treatment naive	P3_pre	c23	23
Treatment naive	P3_pre	c24	16
Treatment naive	P3_pre	c25	7
Treatment naive	P3_pre	c26	51
Treatment naive	P3_pre	c27	3
Treatment naive	P3_pre	c28	5
Treatment naive	P3_pre	c29	3
Treatment naive	P3_pre	c30	85
Treatment naive	P3_pre	c31	8
Treatment naive	P3_pre	c32	8
Treatment naive	P3_pre	c33	1
Treatment naive	P4_pre	c1	36
Treatment naive	P4_pre	c2	35
Treatment naive	P4_pre	c3	48
Treatment naive	P4_pre	c4	54
Treatment naive	P4_pre	c5	60
Treatment naive	P4_pre	c6	33
Treatment naive	P4_pre	c7	23
Treatment naive	P4_pre	c8	41
Treatment naive	P4_pre	c9	26
Treatment naive	P4_pre	c10	11
Treatment naive	P4_pre	c11	3
Treatment naive	P4_pre	c12	43
Treatment naive	P4_pre	c13	24
Treatment naive	P4_pre	c14	17
Treatment naive	P4_pre	c15	10
Treatment naive	P4_pre	c16	25
Treatment naive	P4_pre	c17	34
Treatment naive	P4_pre	c18	17
Treatment naive	P4_pre	c19	6
Treatment naive	P4_pre	c20	14
Treatment naive	P4_pre	c21	14
Treatment naive	P4_pre	c22	6
Treatment naive	P4_pre	c23	5
Treatment naive	P4_pre	c24	24
Treatment naive	P4_pre	c25	22
Treatment naive	P4_pre	c26	3
Treatment naive	P4_pre	c27	5
Treatment naive	P4_pre	c28	16
Treatment naive	P4_pre	c29	8
Treatment naive	P4_pre	c30	3
Treatment naive	P4_pre	c31	6
Treatment naive	P4_pre	c32	3
Treatment naive	P4_pre	c33	4
Treatment naive	P5_pre	c1	4
Treatment naive	P5_pre	c2	16
Treatment naive	P5_pre	c3	25
Treatment naive	P5_pre	c4	22
Treatment naive	P5_pre	c5	16
Treatment naive	P5_pre	c6	4
Treatment naive	P5_pre	c7	7
Treatment naive	P5_pre	c8	6
Treatment naive	P5_pre	c9	9
Treatment naive	P5_pre	c10	7
Treatment naive	P5_pre	c11	8
Treatment naive	P5_pre	c12	7
Treatment naive	P5_pre	c13	10
Treatment naive	P5_pre	c14	23
Treatment naive	P5_pre	c15	12
Treatment naive	P5_pre	c16	8
Treatment naive	P5_pre	c17	17
Treatment naive	P5_pre	c18	9
Treatment naive	P5_pre	c19	2
Treatment naive	P5_pre	c20	7
Treatment naive	P5_pre	c21	8
Treatment naive	P5_pre	c22	6
Treatment naive	P5_pre	c23	2
Treatment naive	P5_pre	c24	8
Treatment naive	P5_pre	c25	11
Treatment naive	P5_pre	c26	5
Treatment naive	P5_pre	c27	9
Treatment naive	P5_pre	c28	9
Treatment naive	P5_pre	c29	6
Treatment naive	P5_pre	c30	3
Treatment naive	P5_pre	c31	2
Treatment naive	P5_pre	c32	2
Treatment naive	P5_pre	c33	2
Treatment naive	P6_pre	c1	47
Treatment naive	P6_pre	c2	52
Treatment naive	P6_pre	c3	51
Treatment naive	P6_pre	c4	131
Treatment naive	P6_pre	c5	95
Treatment naive	P6_pre	c6	67
Treatment naive	P6_pre	c7	113
Treatment naive	P6_pre	c8	67
Treatment naive	P6_pre	c9	73
Treatment naive	P6_pre	c10	112
Treatment naive	P6_pre	c11	22
Treatment naive	P6_pre	c12	116
Treatment naive	P6_pre	c13	42
Treatment naive	P6_pre	c14	76
Treatment naive	P6_pre	c15	87
Treatment naive	P6_pre	c16	55
Treatment naive	P6_pre	c17	53
Treatment naive	P6_pre	c18	27
Treatment naive	P6_pre	c19	44
Treatment naive	P6_pre	c20	45
Treatment naive	P6_pre	c21	31
Treatment naive	P6_pre	c22	26
Treatment naive	P6_pre	c23	7
Treatment naive	P6_pre	c24	11
Treatment naive	P6_pre	c25	25
Treatment naive	P6_pre	c26	16
Treatment naive	P6_pre	c27	35
Treatment naive	P6_pre	c28	9
Treatment naive	P6_pre	c29	5
Treatment naive	P6_pre	c30	8
Treatment naive	P6_pre	c31	10
Treatment naive	P6_pre	c32	1
Treatment naive	P6_pre	c33	4
Treatment naive	P7_pre	c1	29
Treatment naive	P7_pre	c2	21
Treatment naive	P7_pre	c3	29
Treatment naive	P7_pre	c4	31
Treatment naive	P7_pre	c5	9
Treatment naive	P7_pre	c6	1
Treatment naive	P7_pre	c7	3
Treatment naive	P7_pre	c8	5
Treatment naive	P7_pre	c9	12
Treatment naive	P7_pre	c10	16
Treatment naive	P7_pre	c11	14
Treatment naive	P7_pre	c12	14
Treatment naive	P7_pre	c13	1
Treatment naive	P7_pre	c14	11
Treatment naive	P7_pre	c15	16
Treatment naive	P7_pre	c17	17
Treatment naive	P7_pre	c18	17
Treatment naive	P7_pre	c19	8
Treatment naive	P7_pre	c20	9
Treatment naive	P7_pre	c21	14
Treatment naive	P7_pre	c22	2
Treatment naive	P7_pre	c23	2
Treatment naive	P7_pre	c24	23
Treatment naive	P7_pre	c25	5
Treatment naive	P7_pre	c26	3
Treatment naive	P7_pre	c27	5
Treatment naive	P7_pre	c28	17
Treatment naive	P7_pre	c29	2
Treatment naive	P7_pre	c30	7
Treatment naive	P7_pre	c31	4
Treatment naive	P7_pre	c32	2
Treatment naive	P7_pre	c33	1
Treatment naive	P8_pre	c1	56
Treatment naive	P8_pre	c2	42
Treatment naive	P8_pre	c3	105
Treatment naive	P8_pre	c4	47
Treatment naive	P8_pre	c5	22
Treatment naive	P8_pre	c6	16
Treatment naive	P8_pre	c7	12
Treatment naive	P8_pre	c8	11
Treatment naive	P8_pre	c9	8
Treatment naive	P8_pre	c10	13
Treatment naive	P8_pre	c11	62
Treatment naive	P8_pre	c12	22
Treatment naive	P8_pre	c13	39
Treatment naive	P8_pre	c14	24
Treatment naive	P8_pre	c15	28
Treatment naive	P8_pre	c16	9
Treatment naive	P8_pre	c17	47
Treatment naive	P8_pre	c18	34
Treatment naive	P8_pre	c19	13
Treatment naive	P8_pre	c20	22
Treatment naive	P8_pre	c21	14
Treatment naive	P8_pre	c22	26
Treatment naive	P8_pre	c23	3
Treatment naive	P8_pre	c24	100
Treatment naive	P8_pre	c25	24
Treatment naive	P8_pre	c26	15
Treatment naive	P8_pre	c27	8
Treatment naive	P8_pre	c28	95
Treatment naive	P8_pre	c29	10
Treatment naive	P8_pre	c30	5
Treatment naive	P8_pre	c31	8
Treatment naive	P8_pre	c32	1
Treatment naive	P8_pre	c33	9
Treatment naive	P9_pre	c1	48
Treatment naive	P9_pre	c2	20
Treatment naive	P9_pre	c3	26
Treatment naive	P9_pre	c4	19
Treatment naive	P9_pre	c5	28
Treatment naive	P9_pre	c6	6
Treatment naive	P9_pre	c7	7
Treatment naive	P9_pre	c8	37
Treatment naive	P9_pre	c9	36
Treatment naive	P9_pre	c10	36
Treatment naive	P9_pre	c11	23
Treatment naive	P9_pre	c12	30
Treatment naive	P9_pre	c13	23
Treatment naive	P9_pre	c14	11
Treatment naive	P9_pre	c15	4
Treatment naive	P9_pre	c16	14
Treatment naive	P9_pre	c17	26
Treatment naive	P9_pre	c18	16
Treatment naive	P9_pre	c19	14
Treatment naive	P9_pre	c20	20
Treatment naive	P9_pre	c21	23
Treatment naive	P9_pre	c22	8
Treatment naive	P9_pre	c23	17
Treatment naive	P9_pre	c24	38
Treatment naive	P9_pre	c25	3
Treatment naive	P9_pre	c27	2
Treatment naive	P9_pre	c28	24
Treatment naive	P9_pre	c29	15
Treatment naive	P9_pre	c30	24
